Field,ID,Type (Type),default,en-us,ar,cs-cz,da-dk,de-de,es,fi-fi,fr,hi,hu-hu,id,it-it,ja-jp,ko-kr,nb-no,nl-nl,pl-pl,pt-br,ro,ru,th,tr,vi,zh-cn
Title,4,Text,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App,Torrent Client App
Description,2,Text,Torrent Free is a simple clean torrent downloader with no ads no subscriptions and no sign-ups. Add magnet links or .torrent files and keep downloads running in the background. Files are saved directly on your device with no cloud middleman.,Torrent Free is a simple clean torrent downloader with no ads no subscriptions and no sign-ups. Add magnet links or .torrent files and keep downloads running in the background. Files are saved directly on your device with no cloud middleman.,Torrent Free هو برنامج تنزيل تورنت بسيط ونظيف بدون إعلانات وبدون اشتراكات وبدون تسجيل. أضف روابط magnet أو ملفات .torrent واجعل التنزيلات تعمل في الخلفية. يتم حفظ الملفات مباشرة على جهازك بدون وسيط سحابي.,"Torrent Free je jednoduchý čistý stahovač torrentů bez reklam, bez předplatného a bez registrací. Přidejte odkazy magnet nebo soubory .torrent a nechte stahování spuštěné na pozadí. Soubory se ukládají přímo do vašeho zařízení bez cloudového prostředníka.","Torrent Free er en simpel ren torrent downloader uden annoncer, ingen abonnementer og ingen tilmeldinger. Tilføj magnet links eller .torrent filer og lad downloads køre i baggrunden. Filer gemmes direkte på din enhed uden skymellemmand.","Torrent Free ist ein einfacher, sauberer Torrent-Downloader ohne Werbung, ohne Abonnements und ohne Anmeldungen. Fügen Sie magnet-Links oder .torrent-Dateien hinzu und lassen Sie die Downloads im Hintergrund laufen. Dateien werden ohne Cloud-Zwischenhändler direkt auf Ihrem Gerät gespeichert.",Torrent Free es un descargador de torrents simple y limpio sin anuncios sin suscripciones y sin registros. Añade enlaces magnet o archivos .torrent y mantiene las descargas en segundo plano. Los archivos se guardan directamente en tu dispositivo sin intermediarios en la nube.,"Torrent Free on yksinkertainen puhdas torrent-latausohjelma, jossa ei ole mainoksia, ei tilauksia eikä kirjautumisia. Lisää magnet-linkkejä tai .torrent-tiedostoja ja pidä lataukset käynnissä taustalla. Tiedostot tallennetaan suoraan laitteellesi ilman pilvivälittäjää.",Torrent Free est un telechargeur de torrents simple et propre sans publicites sans abonnements et sans inscription. Ajoutez des liens magnet ou des fichiers .torrent et gardez les telechargements en arriere-plan. Les fichiers sont enregistres directement sur votre appareil sans intermediaire cloud.,Torrent Free एक सरल और साफ टोरेंट डाउनलोडर है जिसमें कोई विज्ञापन कोई सदस्यता और कोई साइन अप नहीं है। magnet लिंक या .torrent फ़ाइलें जोड़ें और डाउनलोड को पृष्ठभूमि में चलने दें। फ़ाइलें बिना क्लाउड मध्यस्थ के सीधे आपके डिवाइस पर सहेजी जाती हैं।,"A Torrent Free egy egyszerű, tiszta torrent letöltő, hirdetések nélkül, előfizetések és regisztrációk nélkül. Adjon hozzá magnet hivatkozásokat vagy .torrent fájlokat, és futtasson a letöltéseket a háttérben. A fájlok közvetlenül az eszközre kerülnek mentésre, felhőközvetítő nélkül.","Torrent Free adalah pengunduh torrent sederhana dan bersih tanpa iklan, tanpa langganan, dan tanpa pendaftaran. Tambahkan tautan magnet atau file .torrent dan biarkan unduhan tetap berjalan di latar belakang. File disimpan langsung di perangkat Anda tanpa perantara cloud.","Torrent Free è un semplice downloader torrent pulito, senza pubblicità, senza abbonamenti e senza iscrizioni. Aggiungi collegamenti magnet o file .torrent e mantieni i download in esecuzione in background. I file vengono salvati direttamente sul tuo dispositivo senza intermediari nel cloud.",Torrent Free は、広告なし、サブスクリプションなし、サインアップなしのシンプルでクリーンな torrent ダウンローダーです。 magnet リンクまたは .torrent ファイルを追加し、バックグラウンドでダウンロードを実行し続けます。ファイルはクラウド仲介者なしでデバイスに直接保存されます。,"Torrent Free은 광고도, 구독도, 가입도 없는 간단하고 깔끔한 토렌트 다운로더입니다. magnet 링크 또는 .torrent 파일을 추가하고 백그라운드에서 다운로드를 계속 실행하세요. 클라우드 중개인 없이 파일이 장치에 직접 저장됩니다.","Torrent Free er en enkel, ren torrent-nedlasting uten annonser, abonnementer og registreringer. Legg til magnet-koblinger eller .torrent-filer og la nedlastinger kjøre i bakgrunnen. Filer lagres direkte på enheten din uten skymellommann.","Torrent Free is een eenvoudige, schone torrent-downloader zonder advertenties, geen abonnementen en geen aanmeldingen. Voeg magnet links of .torrent bestanden toe en laat downloads op de achtergrond draaien. Bestanden worden rechtstreeks op uw apparaat opgeslagen, zonder tussenpersoon in de cloud.","Torrent Free to prosty, czysty program do pobierania torrentów, bez reklam, bez subskrypcji i rejestracji. Dodaj łącza magnet lub pliki .torrent i pobieraj pliki w tle. Pliki są zapisywane bezpośrednio na Twoim urządzeniu, bez pośredników w chmurze.","Torrent Free é um downloader de torrent simples e limpo, sem anúncios, sem assinaturas e sem inscrições. Adicione links magnet ou arquivos .torrent e mantenha os downloads em execução em segundo plano. Os arquivos são salvos diretamente no seu dispositivo, sem intermediários na nuvem.","Torrent Free este un simplu program de descărcare torrent, fără reclame, fără abonamente și fără înscrieri. Adăugați linkuri magnet sau fișiere .torrent și continuați să ruleze descărcările în fundal. Fișierele sunt salvate direct pe dispozitivul dvs. fără intermediar cloud.",Torrent Free это простой и чистый загрузчик торрентов без рекламы без подписок и без регистрации. Добавляйте magnet-ссылки или файлы .torrent и продолжайте загрузки в фоновом режиме. Файлы сохраняются прямо на вашем устройстве без облачного посредника.,Torrent Free เป็นเครื่องมือดาวน์โหลดทอร์เรนต์ที่เรียบง่าย ไม่มีโฆษณา ไม่มีการสมัครรับข้อมูลและไม่ต้องสมัครใช้งาน เพิ่มลิงก์ magnet หรือไฟล์ .torrent และให้การดาวน์โหลดทำงานอยู่เบื้องหลัง ไฟล์จะถูกบันทึกบนอุปกรณ์ของคุณโดยตรงโดยไม่มีคนกลางระบบคลาวด์,Torrent Free reklam abonelik ve kayıt gerektirmeyen sade ve temiz bir torrent indiricisidir. Magnet bağlantıları veya .torrent dosyaları ekleyin ve indirmeleri arka planda çalıştırın. Dosyalar bulut aracısı olmadan doğrudan cihazınıza kaydedilir.,"Torrent Free là một trình tải xuống torrent đơn giản, sạch sẽ, không có quảng cáo, không cần đăng ký và không cần đăng ký. Thêm liên kết magnet hoặc tệp .torrent và tiếp tục tải xuống chạy ở chế độ nền. Các tệp được lưu trực tiếp trên thiết bị của bạn mà không cần qua trung gian đám mây.",Torrent Free 是一个简单干净的 torrent 下载器，没有广告，没有订阅，也没有注册。添加 magnet 链接或 .torrent 文件并保持下载在后台运行。文件直接保存在您的设备上，无需云中间商。
ShortDescription,8,Text,Fast clean and free torrent downloader. No ads. No tracking.,Fast clean and free torrent downloader. No ads. No tracking.,برنامج تنزيل تورنت سريع ونظيف ومجاني. بدون إعلانات. بدون تتبع.,Rychlý čistý a bezplatný stahovač torrentů. Žádné reklamy. Žádné sledování.,Hurtig ren og gratis torrent downloader. Ingen annoncer. Ingen sporing.,"Schneller, sauberer und kostenloser Torrent-Downloader. Keine Werbung. Keine Nachverfolgung.",Descargador de torrents rapido limpio y gratuito. Sin anuncios. Sin seguimiento.,Nopea puhdas ja ilmainen torrent-latausohjelma. Ei mainoksia. Ei seurantaa.,Telechargeur de torrents rapide propre et gratuit. Sans publicite. Sans suivi.,तेज साफ और मुफ्त टोरेंट डाउनलोडर। कोई विज्ञापन नहीं। कोई ट्रैकिंग नहीं।,Gyors tiszta és ingyenes torrent letöltő. Nincsenek hirdetések. Nincs nyomon követés.,"Pengunduh torrent yang cepat, bersih, dan gratis. Tidak ada iklan. Tidak ada pelacakan.","Downloader torrent veloce, pulito e gratuito. Nessuna pubblicità. Nessun tracciamento.",高速でクリーンな無料の torrent ダウンローダー。広告はありません。追跡はありません。,빠르고 깨끗한 무료 토렌트 다운로더. 광고가 없습니다. 추적이 없습니다.,Rask ren og gratis torrent-nedlasting. Ingen annonser. Ingen sporing.,"Snelle, schone en gratis torrent-downloader. Geen advertenties. Geen tracking.","Szybki, czysty i darmowy program do pobierania torrentów. Brak reklam. Brak śledzenia.","Downloader de torrent rápido, limpo e gratuito. Sem anúncios. Sem rastreamento.",Descărcător de torrent gratuit și curățat rapid. Fără reclame. Fără urmărire.,Быстрый чистый и бесплатный загрузчик торрентов. Без рекламы. Без отслеживания.,โปรแกรมดาวน์โหลดทอร์เรนท์ที่สะอาดรวดเร็วและฟรี ไม่มีโฆษณา ไม่มีการติดตาม,Hızlı sade ve ücretsiz torrent indirici. Reklam yok. İzleme yok.,Trình tải xuống torrent nhanh chóng và sạch sẽ. Không có quảng cáo. Không theo dõi.,快速、干净且免费的 torrent 下载器。没有广告。没有跟踪。
Feature1,700,Text,Add magnet links,Add magnet links,إضافة روابط magnet,Přidejte odkazy magnet,Tilføj magnet links,Fügen Sie magnet-Links hinzu,Añade enlaces magnet,Lisää magnet linkkejä,Ajoutez des liens magnet,magnet लिंक जोड़ें,magnet linkek hozzáadása,Tambahkan tautan magnet,Aggiungi collegamenti magnet,magnet リンクを追加,magnet 링크 추가,Legg til magnet-lenker,Voeg magnet-links toe,Dodaj linki magnet,Adicionar links magnet,Adăugați linkuri magnet,Добавление magnet-ссылок,เพิ่มลิงก์ magnet,Magnet bağlantıları ekleyin,Thêm liên kết magnet,添加 magnet 链接
Feature2,701,Text,Open .torrent files,Open .torrent files,فتح ملفات .torrent,Otevřete soubory .torrent,Åbn .torrent filer,Öffnen Sie .torrent-Dateien,Abre archivos .torrent,Avaa .torrent tiedostoa,Ouvrez des fichiers .torrent,.torrent फ़ाइलें खोलें,Nyisson meg .torrent fájlt,Buka file .torrent,Apri file .torrent,.torrent ファイルを開く,.torrent 파일 열기,Åpne .torrent filer,Open .torrent bestanden,Otwórz pliki .torrent,Abra arquivos .torrent,Deschideți fișierele .torrent,Открытие файлов .torrent,เปิดไฟล์ .torrent,.torrent dosyalarını açın,Mở tệp .torrent,打开 .torrent 文件
Feature3,702,Text,Background downloads,Background downloads,تنزيلات في الخلفية,Stahování na pozadí,Baggrundsdownloads,Hintergrund-Downloads,Descargas en segundo plano,Taustalataukset,Telechargements en arriere-plan,पृष्ठभूमि में डाउनलोड,Letöltések a háttérben,Unduhan latar belakang,Download in background,バックグラウンドダウンロード,백그라운드 다운로드,Bakgrunnsnedlastinger,Achtergronddownloads,Pobieranie w tle,Downloads em segundo plano,Descărcări de fundal,Фоновые загрузки,ดาวน์โหลดพื้นหลัง,Arka planda indirmeler,Tải xuống nền,后台下载
Feature4,703,Text,Download speed limits,Download speed limits,حدود سرعة التنزيل,Omezení rychlosti stahování,Download hastighedsgrænser,Geschwindigkeitsbegrenzungen herunterladen,Limites de velocidad de descarga,Lataa nopeusrajoitukset,Limites de vitesse de telechargement,डाउनलोड गति सीमाएं,Letöltési sebességkorlátozások,Batas kecepatan unduh,Scarica i limiti di velocità,ダウンロード速度制限,다운로드 속도 제한,Last ned fartsgrenser,Snelheidslimieten downloaden,Pobierz ograniczenia prędkości,Limites de velocidade de download,Descărcați limite de viteză,Ограничения скорости загрузки,ดาวน์โหลดขีดจำกัดความเร็ว,İndirme hızı sınırları,Giới hạn tốc độ tải xuống,下载速度限制
Feature5,704,Text,Upload speed limits,Upload speed limits,حدود سرعة الرفع,Omezení rychlosti nahrávání,Upload hastighedsgrænser,Geschwindigkeitsbegrenzungen hochladen,Limites de velocidad de subida,Latauksen nopeusrajoitukset,Limites de vitesse d'envoi,अपलोड गति सीमाएं,Feltöltési sebességkorlátozások,Batas kecepatan unggah,Carica i limiti di velocità,アップロード速度制限,업로드 속도 제한,Last opp fartsgrenser,Snelheidslimieten uploaden,Przesyłaj ograniczenia prędkości,Limites de velocidade de upload,Încărcați limite de viteză,Ограничения скорости отдачи,อัพโหลดจำกัดความเร็ว,Yükleme hızı sınırları,Giới hạn tốc độ tải lên,上传速度限制
Feature6,705,Text,Progress notifications,Progress notifications,إشعارات التقدم,Oznámení o průběhu,Statusmeddelelser,Fortschrittsbenachrichtigungen,Notificaciones de progreso,Edistymisilmoitukset,Notifications de progression,प्रगति सूचनाएं,Haladásról szóló értesítések,Pemberitahuan kemajuan,Notifiche di avanzamento,進捗通知,진행상황 알림,Fremdriftsvarsler,Voortgangsmeldingen,Powiadomienia o postępie,Notificações de progresso,Notificări de progres,Уведомления о ходе загрузки,การแจ้งเตือนความคืบหน้า,İlerleme bildirimleri,Thông báo tiến độ,进度通知
Feature7,706,Text,Simple download queue,Simple download queue,قائمة تنزيل بسيطة,Jednoduchá fronta stahování,Simpel downloadkø,Einfache Download-Warteschlange,Cola de descargas simple,Yksinkertainen latausjono,File de telechargement simple,सरल डाउनलोड कतार,Egyszerű letöltési sor,Antrian unduhan sederhana,Coda di download semplice,単純なダウンロードキュー,단순 다운로드 대기열,Enkel nedlastingskø,Eenvoudige downloadwachtrij,Prosta kolejka pobierania,Fila de download simples,Coadă simplă de descărcare,Простая очередь загрузок,คิวดาวน์โหลดง่ายๆ,Basit indirme kuyruğu,Hàng đợi tải xuống đơn giản,简单的下载队列
